,time,Open,High,Low,Close,Volume,returns,volatility
0,2023-01-01 00:00:00,16537.5,16540.9,16504.0,16527.0,5381.399,,
1,2023-01-01 01:00:00,16527.1,16554.3,16524.1,16550.4,3210.826,0.0014158649482665098,
2,2023-01-01 02:00:00,16550.5,16557.1,16534.8,16542.4,2399.668,-0.0004833720030935629,
3,2023-01-01 03:00:00,16542.5,16542.5,16515.0,16529.3,3214.48,-0.0007919044395010566,
4,2023-01-01 04:00:00,16529.2,16530.4,16508.8,16517.8,3150.954,-0.0006957342416193946,
5,2023-01-01 05:00:00,16517.8,16531.1,16508.0,16525.7,3268.293,0.0004782719248326295,
6,2023-01-01 06:00:00,16525.6,16545.7,16525.6,16535.3,2726.582,0.0005809133652432408,
7,2023-01-01 07:00:00,16535.3,16537.5,16488.0,16519.6,8852.672,-0.0009494838315603493,
8,2023-01-01 08:00:00,16519.5,16524.9,16502.0,16504.2,3289.761,-0.0009322259618875783,
9,2023-01-01 09:00:00,16504.3,16536.1,16496.8,16532.7,3948.702,0.0017268331697386508,
10,2023-01-01 10:00:00,16532.7,16542.9,16527.3,16542.8,4110.425,0.0006109104985876357,
11,2023-01-01 11:00:00,16542.9,16549.8,16535.1,16549.8,3768.388,0.00042314481224470235,
12,2023-01-01 12:00:00,16549.8,16565.9,16542.9,16553.9,5482.001,0.00024773713277514986,
13,2023-01-01 13:00:00,16553.8,16559.8,16530.5,16539.9,4505.256,-0.0008457221561082306,
14,2023-01-01 14:00:00,16539.9,16549.7,16533.1,16533.1,2448.444,-0.000411127032207137,
15,2023-01-01 15:00:00,16533.2,16553.1,16524.6,16553.1,3107.183,0.0012096944916561991,
16,2023-01-01 16:00:00,16553.0,16579.0,16552.6,16556.0,7482.092,0.0001751937703513562,
17,2023-01-01 17:00:00,16556.1,16589.4,16555.5,16573.1,6126.892,0.001032858178303897,
18,2023-01-01 18:00:00,16573.1,16597.0,16573.0,16584.3,4955.635,0.0006757939069939045,
19,2023-01-01 19:00:00,16584.3,16615.8,16584.2,16596.1,7406.797,0.0007115163136219849,
20,2023-01-01 20:00:00,16596.1,16618.8,16592.0,16593.8,4951.995,-0.00013858677641132022,0.0008237528720473288
21,2023-01-01 21:00:00,16593.7,16599.7,16584.1,16597.6,3040.626,0.00022900119321667134,0.0007728860518846181
22,2023-01-01 22:00:00,16597.6,16605.4,16579.1,16594.4,3633.682,-0.00019279895888546505,0.0007631680596372133
23,2023-01-01 23:00:00,16594.4,16617.4,16594.4,16610.3,5040.212,0.0009581545581640594,0.0007488105642171133
24,2023-01-02 00:00:00,16610.4,16618.4,16572.9,16578.0,5774.202,-0.001944576557918798,0.0008731131804923261
25,2023-01-02 01:00:00,16578.0,16579.3,16541.2,16556.5,9532.229,-0.0012968995053685983,0.0009298270244569637
26,2023-01-02 02:00:00,16556.5,16587.1,16547.5,16580.4,3292.203,0.0014435418113731835,0.000972646790583824
27,2023-01-02 03:00:00,16580.4,16700.7,16575.0,16654.6,18043.112,0.0044751634459963,0.0013405907639715334
28,2023-01-02 04:00:00,16654.7,16665.0,16621.8,16631.8,8205.467,-0.0013689911495922136,0.0013668699840152319
